,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
222,Fenerbahce mah,40.97428620000001,29.0430833,53a4317a498e56d9916181dd,Renda yaşam,40.97449205584756,29.049291282249587,522,Gym / Fitness Center
342,Acibadem mah,41.0021363,29.0387191,53aabacd498e1b4922e4213e,Masőr Serkan 05549181091,41.001392796274935,29.037744521088285,116,Gym / Fitness Center
261,Zuhtupasa mah,40.9859157,29.0387191,53ae4eee498ed1411b8d578e,Kızıltoprak Fitness Center,40.98616287235143,29.04517159786651,542,Gymnastics Gym
291,Zuhtupasa mah,40.9859157,29.0387191,53b6e85c498e8be468f425c6,Sun Gym Fitness Club,40.98694699930951,29.04295406464964,373,Gym
310,Dumlupinar mah,40.9942188,29.05908429999999,53ba6599498ecdc36aff27c5,Yasa Fitness Pro,40.998635491790424,29.061121262074046,520,Gym / Fitness Center
197,Fenerbahce mah,40.97428620000001,29.0430833,53dd3d8c498e95484c3ce163,DEKS Studio,40.97585810640218,29.0417607373357,207,Gym
79,Caddebostan mah,40.9679267,29.0619934,53e3bf20498e45efd42690d0,Bodydesign Plates,40.96641321167044,29.06903456690516,615,Gym / Fitness Center
70,Caddebostan mah,40.9679267,29.0619934,53fcb44c498e23e4c8cd4d84,fitfiz pilates studio,40.96526746812558,29.066450703772627,477,Gym / Fitness Center
229,Feneryolu mah,40.9819573,29.04890199999999,5405c83b498e173768fb3850,Validebağ ASML Voleybol Antrenmanı,40.98448978092949,29.044404471968612,471,Gym
299,Dumlupinar mah,40.9942188,29.05908429999999,540ef68a498eb9ea5bc2dc72,İ.T.O Spor Kulübü,40.99547632125711,29.058703406624403,143,Gym
610,Sahrayicedi̇t mah,40.9894,29.0798,5416dc57498e8ab00d321952,Hilton Maya Fitness&Spa,40.98766468575453,29.085868216015825,545,Gym / Fitness Center
604,Sahrayicedi̇t mah,40.9894,29.0798,54170c48498e8ab00d37934f,Hilton fitness center,40.98760966164588,29.085908970201444,550,Gym
554,Rasi̇mpasa mah,40.9960665,29.0270806,54172eac498e2ddcc3418ae2,Kaptan Nemo GYM,40.99588564593034,29.033692719825694,555,Gym / Fitness Center
250,Feneryolu mah,40.9819573,29.04890199999999,54186360498e715bd97828d0,Yoga Şala,40.97791342371251,29.04652397947375,492,Yoga Studio
381,Kosuyolu mah,41.0090866,29.0387191,54199841498eaa595d0e6d5e,İstanbul Voleybol Okulları Spor Kulübü,41.01284638361486,29.042833272414125,542,Gym
227,Feneryolu mah,40.9819573,29.04890199999999,541d54ee498ee38559a72b9d,Yogasala Bagdat Caddesi,40.97798159517989,29.046739932174916,478,Yoga Studio
423,Kozyatagi mah,40.9691471,29.095444,5427ce5f498ef72d775d99ed,JM Hanminjok Hapkido Center,40.96831019605803,29.091058996480587,380,Martial Arts Dojo
335,Goztepe mah,40.9771558,29.066357,542eb87e498e283e387ece30,SQUIRREL TRAINING OFFICE,40.98116252895312,29.06703590830942,449,Yoga Studio
598,Sahrayicedi̇t mah,40.9894,29.0798,542fceed498e669166385309,Maia Fitness & Spa Hilton İstanbul Kozyatağı,40.98742978921371,29.08624599909827,584,Gym
599,Sahrayicedi̇t mah,40.9894,29.0798,5447d27f498e7370765e6bef,Siemens Fitness Healt Center,40.98713215586963,29.079398539358913,254,Gym
592,Sahrayicedi̇t mah,40.9894,29.0798,5449165c498e3d825c05a421,Hilton Maia Spa & Fitness,40.98764181140313,29.08594444102504,552,Gym Pool
40,Caddebostan mah,40.9679267,29.0619934,54562a0a498ea5abf9ff938d,PlatesCaddebostan,40.969968751943526,29.06063830773454,254,Gym
426,Kozyatagi mah,40.9691471,29.095444,545b2f1e498e8f1bf5b4289a,Move It!,40.96836538337711,29.099513523575244,352,Gym
144,Hasanpasa mah,40.9966818,29.0438107,54625acb498e80afb387b6ab,Galatasaray Spor Okulları Acıbadem Şubesi,40.99724375819028,29.04109158040529,236,Gym
191,Fenerbahce mah,40.97428620000001,29.0430833,54636836498e931a13e05485,Şebnem Bayer Spor ve Yaşam Merkezi,40.9735785515314,29.042755657899882,83,Gym / Fitness Center
325,Goztepe mah,40.9771558,29.066357,5472d29c498e9bd69f25618a,GymGyme Gym Goztepe,40.978973388671875,29.066972732543945,208,Gym / Fitness Center
395,Kosuyolu mah,41.0090866,29.0387191,5478a2aa498ee22f106f1dea,Gocha Fitness Club,41.01169911681439,29.035782740355685,381,Gym / Fitness Center
150,Hasanpasa mah,40.9966818,29.0438107,5478c99c498e0c555a6ec8e4,Fikirtepe Fitness House,40.99339425304493,29.04524546904623,385,Gym
76,Caddebostan mah,40.9679267,29.0619934,548dc245498ed1c2767dd2fd,my goal,40.97069126544589,29.06246784433934,310,Gym
32,Caddebostan mah,40.9679267,29.0619934,54a54a64498e7bfcc053fb0d,Cihangir Yoga Cadde,40.96939763008803,29.063507383301097,207,Yoga Studio
258,Zuhtupasa mah,40.9859157,29.0387191,54a9443a498e16f50fce8b5b,Dereağzı Tesisleri,40.982229565727756,29.036517058249657,450,Gymnastics Gym
398,Kosuyolu mah,41.0090866,29.0387191,54ad3d55498e26252e33459b,gocha club,41.011686439883704,29.035709928365048,384,Gym / Fitness Center
26,Bostanci mah,40.9583172,29.0968982,54b6d3c1498e4338b6916d82,Dungeon,40.96077738613681,29.102484882344203,543,Gym / Fitness Center
507,Osmanaga mah,40.9914317,29.0270806,54b7fa72498eb73b78467269,sporalanim,40.99152026720823,29.027055035474156,10,Gym
13,Bostanci mah,40.9583172,29.0968982,54c2904c498e50c8107989f0,SPORTS & HEALTH CLUB CHAMPİON GYM,40.959558037106184,29.09195330932034,438,Gym
210,Fenerbahce mah,40.97428620000001,29.0430833,54c3c07c498e782c17060a85,dailyoga By Dicle - Workshop Studio,40.97130100302205,29.038881051981207,484,Yoga Studio
218,Fenerbahce mah,40.97428620000001,29.0430833,54ccaac4498e732d085c2795,Leylak Sitesi Spor Salonu,40.97572249549397,29.0479445838396,438,Gym
401,Kosuyolu mah,41.0090866,29.0387191,54cfb32a498ec48ec8d640df,neoPilates,41.008561696101424,29.03186283896871,578,Gym
266,Zuhtupasa mah,40.9859157,29.0387191,54d604fe498ee1bc7e3fc1e5,Pilates D,40.98466491699219,29.042081832885742,315,Gym
361,Acibadem mah,41.0021363,29.0387191,54e05dc6498edc3a985cc63a,NBA BASKETBOL OKULU,41.00210313030658,29.037596771452627,94,Gym
217,Fenerbahce mah,40.97428620000001,29.0430833,54e1de32498eff11e3747703,HMA Academy,40.974804367321006,29.049289388152207,524,Gym
301,Dumlupinar mah,40.9942188,29.05908429999999,54ec5703498e62d92792ed4a,İstanbul Hapkido Taekwondo Body Fitness Center,40.991093546069685,29.057013260515184,388,Gym / Fitness Center
184,Erenkoy mah,40.9731949,29.0765381,54fc55c3498e88b585c1b19e,Mediform,40.97691163280279,29.078739527351683,453,Gym / Fitness Center
609,Sahrayicedi̇t mah,40.9894,29.0798,550d1e3a498e2a7e90326844,Hitclub Fitness & Spa Hilton İstanbul Kozyatağı,40.98761919407521,29.085766136480473,539,Gym
174,Erenkoy mah,40.9731949,29.0765381,5518040c498e69a8233e1552,Pilatesim,40.97134928701875,29.081286001285164,448,Gym
533,Osmanaga mah,40.9914317,29.0270806,552d471c498e612f4d8a1d70,Hemsire Evi Spor Salonu,40.99314519592041,29.032152666275085,466,Gym
537,Osmanaga mah,40.9914317,29.0270806,553023b8498ef70dfcf80e49,Barlar Sokağı Fitness Center,40.987604517225684,29.026998204744054,426,Gym
49,Caddebostan mah,40.9679267,29.0619934,5534c65e498e2f17bdf79dd5,Lightness Pilates,40.966242850934094,29.059289325916755,294,Gym / Fitness Center
44,Caddebostan mah,40.9679267,29.0619934,553929e4498edaf4affe8b10,Fenerbahce ordu evi fitness salonu,40.96972725255929,29.06544505578127,352,Gym / Fitness Center
188,Erenkoy mah,40.9731949,29.0765381,553c9ae4498e35c718169fee,Stüdyo Minerva,40.9705860232864,29.080432500726136,437,Gym
339,Goztepe mah,40.9771558,29.066357,553f4ca9498e78d31c833d09,Fit İn Time Göztepe,40.98166419367932,29.065852471203183,503,Gym
349,Acibadem mah,41.0021363,29.0387191,55533374498ee51e2a145cb4,Euro Gym Fitness & Health Club,41.00191815436876,29.041364342625673,223,Gym / Fitness Center
351,Acibadem mah,41.0021363,29.0387191,555da79e498e4fcd3fba724e,Lounge Fitness Center,41.002956,29.03291,496,Gym / Fitness Center
511,Osmanaga mah,40.9914317,29.0270806,5564a4a2498e2140c9007b75,Wow Asia,40.99155060168225,29.03077463855315,310,Gym
647,Suadi̇ye mah,40.963081,29.0838099,55681d1c498efa7eb7be95bc,Change Studio,40.966736515773135,29.086901726006158,482,Gym
622,Suadi̇ye mah,40.963081,29.0838099,55706963498e40d5a268b557,PT Studio Pilates,40.96097463337541,29.084930419921875,252,Gym
68,Caddebostan mah,40.9679267,29.0619934,557aa80c498e4ab7b9eb56f0,Fitfiz Pilates Studio,40.965057126064714,29.06620639441825,476,Gym / Fitness Center
224,Fenerbahce mah,40.97428620000001,29.0430833,559387a9498e74a359889019,BGMLIFE PILATES STUDIO,40.972469968311245,29.047310005494786,408,Gym
328,Goztepe mah,40.9771558,29.066357,55a26da4498e237c9e53eac4,Voit Fitness Station @Demirco,40.97506373835588,29.069770317744982,369,Cycle Studio
484,19 mayis mah,40.97462609999999,29.0881728,55ad4024498ee308d59f7cd7,Spinning BY OsmanTat,40.97432456475412,29.09460047240998,541,Cycle Studio
363,Acibadem mah,41.0021363,29.0387191,55ae113f498e2f5da5804c0c,HIT WORKOUT STUDIO,41.002793717146254,29.032569806208073,521,Gym
