,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
579,Meci̇di̇ye mah,41.0509393,29.021261,4e931eb055037de99d9cefab,Rocky Sports Center,41.05310765711649,29.023491148468874,305,Gym / Fitness Center
497,Ni̇sbeti̇ye mah,41.0717724,29.021261,4e9360a28b81592e629995df,Gokahmet's fitness center,41.068643233396365,29.025378520083578,490,Gym
296,Di̇ki̇li̇tas mah,41.0557351,29.003801,4e995f618b81f3191334635f,Blue Vision Fitness Akademi,41.05443864953047,29.00756479569031,347,Gym / Fitness Center
217,Bebek mah,41.0777437,29.0416286,4e99efd261afc418b981b041,Yoga,41.08189792072819,29.043296394436826,483,Yoga Studio
272,Balmumcu mah,41.0591046,29.0147137,4e9d4b9602d527780616d531,World Class Fitness Center,41.05588625274689,29.008225863146063,651,Gym
18,Abbasaga mah,41.0480102,29.0045285,4ea98d24490158681b0d5fc1,The One Sports,41.046960504403955,29.00492924187871,121,Gym / Fitness Center
387,Yildiz mah,41.0471495,29.0139863,4eadaee89911d5c951671ee4,H&M,41.04429863659589,29.016881999412306,399,Yoga Studio
389,Yildiz mah,41.0471495,29.0139863,4eaeb68882315d0ca61f6999,Mini Ven,41.04465,29.016533,350,Yoga Studio
474,Ni̇sbeti̇ye mah,41.0717724,29.021261,4ec2ac6b9adf5630f701a3e0,Dogakent Sitesi Spor Salonu,41.06846288878127,29.023271250352046,405,Gym
594,Meci̇di̇ye mah,41.0509393,29.021261,4ec51678f790c16e5238c264,Ortakoy Princess Hotel Saglikli Yasam Merkezi,41.04935431174121,29.026488707676013,473,Gym
710,Turkali̇ mah,41.0476515,29.00161829999999,4ecd1e4a2c5b26aab95c9c7d,Ahalya Pilates,41.048542397290255,28.995448220060943,527,Yoga Studio
357,Gayrettepe mah,41.0641962,29.0067111,4ed2590ce3007feb7fca72a5,NYG Fitness Center,41.06758963167435,29.00586139713452,384,Gym
132,Si̇nanpasa mah,41.0418657,29.0051116,4ed3d7c399114b488c0c5a3c,Milli Saraylar Spor Salonu,41.04692,29.00436,566,Gym
513,Ulus mah,41.0632296,29.0270806,4ed7f2e993adde11f9a39076,"Eryuruk Inn ""3rd Floor Gym""",41.06451455767521,29.026532191962865,150,Gym
516,Ulus mah,41.0632296,29.0270806,4eeb3538b634b469c34e7ba3,Mef Konutlari Gym Center,41.06284981867304,29.023792917480986,279,Gym
504,Ulus mah,41.0632296,29.0270806,4eef97d6f9ab8c5a0419c967,Ulus Vadi Spor Salonu,41.06193620675656,29.023888058288485,304,Gym / Fitness Center
180,Kurucesme mah,41.0616299,29.0329,4ef87351f790731252bff7a3,Muscle Gym,41.0605047218893,29.03584308660525,276,Gym
542,Levent mah,41.0818288,29.0183512,4f0acdd4e4b08f524b162dfc,Yaşam Yolu,41.08516675940179,29.013426423727054,555,Yoga Studio
96,Si̇nanpasa mah,41.0418657,29.0051116,4f0b2d03e4b0fcefab4a7ac7,GYM works,41.044647226173424,29.003443465649806,339,Gym / Fitness Center
396,Kultur mah,41.0732019,29.0329,4f0c675be4b0065899eb0a8c,D-Gym Etiler,41.07717573681804,29.033721506923545,447,Gym / Fitness Center
429,Kultur mah,41.0732019,29.0329,4f20387fe4b03be7a562e2b8,Bfit Ulus,41.07381123871451,29.028602221671125,366,Gym
511,Ulus mah,41.0632296,29.0270806,4f2ac9d7e4b0e2cf5e86fa57,Bujin Fight Club,41.05881400852746,29.024286515995684,544,Martial Arts Dojo
725,Vi̇snezade mah,41.0415031,28.9987081,4f3522aae4b01f8cbc93802c,Pilates,41.0434652570952,28.999270155874246,223,Yoga Studio
495,Ni̇sbeti̇ye mah,41.0717724,29.021261,4f352c0ee4b0ba1c47ecab3f,Veges,41.07604636908125,29.019951031041018,488,Gym
586,Meci̇di̇ye mah,41.0509393,29.021261,4f36705ae4b0e313d267887c,Fitness World,41.053218586268194,29.02075806250341,257,Gym
365,Gayrettepe mah,41.0641962,29.0067111,4f3e0684a17cd1c4c4c43db3,B-Fit,41.062502937819104,29.009335041046143,289,Gym
534,Levent mah,41.0818288,29.0183512,4f3f8726e4b0b5869f7cf0c9,TSYD Spor Salonu,41.07995365105395,29.020485263610578,275,Gym
392,Yildiz mah,41.0471495,29.0139863,4f426558e4b0f4a9fc6c9b70,Yoga Academy,41.04539101865342,29.011670188531006,275,Yoga Studio
578,Meci̇di̇ye mah,41.0509393,29.021261,4f4d1041e4b0b2a2fd5fd07f,Prıncess Otel,41.05031297032077,29.025475133332492,360,Gym / Fitness Center
279,Di̇ki̇li̇tas mah,41.0557351,29.003801,4f571209e4b0be1ce2d5463b,Polat Boks Salonu,41.05589320983517,29.003103814488096,61,Martial Arts Dojo
519,Ulus mah,41.0632296,29.0270806,4f5cb2fbe4b01219ac44d7ca,nevra's soul center,41.06663883671103,29.024520364437265,436,Yoga Studio
672,Turkali̇ mah,41.0476515,29.00161829999999,4f5e304fe4b0c4b68b4b6828,Om Yoga,41.04591015114885,29.001220539197526,196,Yoga Studio
498,Ni̇sbeti̇ye mah,41.0717724,29.021261,4f7429f6e4b026e7916eca0b,Avantgarde Fitness & Spa,41.07084198494302,29.01526401187274,513,Gym / Fitness Center
479,Ni̇sbeti̇ye mah,41.0717724,29.021261,4f748e3be4b0f3ab58ac89e4,Beyaz Vadi Spor Salonu,41.07426665211249,29.023804283866202,350,Gym / Fitness Center
530,Konaklar mah,41.0934402,29.0139863,4f906c4be4b09decf96a6df0,508 No'lu Oda,41.09591989764315,29.017649263070634,413,Gym
311,Di̇ki̇li̇tas mah,41.0557351,29.003801,4f957f30e4b01b89912bc7e0,CONAN Spor Salonu,41.056789380383115,29.00565109430812,194,Gym
141,Akat mah,41.0856143,29.0256257,4f95be7de4b0d668ffb66a64,Alman Deresi Yürüyüş Parkuru,41.08763739845536,29.029544200787704,398,Track
229,Eti̇ler mah,41.0870419,29.0372643,4f9bc0c7e4b08ea038eca857,Spor Sart,41.08403551764091,29.04158596157182,493,Gym
447,Levazim mah,41.06331369999999,29.0183512,4f9d39f5e4b0ef2f716320f1,Selenium City Spor,41.06643856997163,29.019206512337682,355,Gym Pool
256,Balmumcu mah,41.0591046,29.0147137,4fae2107e4b0664ab7791009,Life Fitness,41.0604127816369,29.010983353881294,345,Gym
74,Ci̇hannuma mah,41.0472111,29.0074387,4faffe62e4b0861ead2dc747,Yoga Evi,41.04455195705611,29.00800987980242,299,Yoga Studio
718,Vi̇snezade mah,41.0415031,28.9987081,4fb73636e4b01fc5324c57da,Swiss Hotel Bosphorus SPA & Wellness Center,41.04245314535917,28.992964186769118,493,Gym / Fitness Center
321,Di̇ki̇li̇tas mah,41.0557351,29.003801,4fb91c39e4b002b8bbaa24bc,Sky Fitness,41.05406679078558,29.00017175177528,356,Gym / Fitness Center
531,Konaklar mah,41.0934402,29.0139863,4fc4f5d4e4b02a2bec17c30a,Tria Club,41.09069594210856,29.00867488025842,540,Gym / Fitness Center
209,Bebek mah,41.0777437,29.0416286,4fc5061ce4b02a2bec1ed4be,Yoga Academy İstanbul,41.0809071927852,29.03599992975661,589,Gym
